,,,,,,,,,,,,,,,,,도움이 필요할 때
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
id,확정카테고리,아이콘 디자인 대상,서비스명,기존카테고리,서브카테고리,연동방식,노출위치,건물수,적용률,이용등급,개편방향,변경여부,비고,,,,
33,업무에 집중할 때,○,공간예약 (회의실 등),지원,공간·좌석 예약,내부,아이콘탭,19,16.2,무료핵심(선택),유지,변경,회의실 예약 핵심 · 업무 행위로 재배치,,,,
34,업무에 집중할 때,○,ISC 공유오피스,업무,공간·좌석 예약,외부 WEBVIEW,아이콘탭,1,0.9,무료(선택),유지,유지,LGSP ISC 전용,,,,
35,업무에 집중할 때,,서초 자율회의실,업무,공간·좌석 예약,외부 WEBVIEW,아이콘탭,2,1.7,무료(선택),유지,유지,LG전자 서초 전용,,,,
36,업무에 집중할 때,,스마트오피스 예약 (에이텐)1,업무,공간·좌석 예약,외부 WEBVIEW,아이콘탭,1,0.9,유료,유지,유지,LG전자 등 건물별 상이 · lock-in,,,,
37,업무에 집중할 때,,스마트오피스 예약 (에이텐)2,업무,공간·좌석 예약,외부 WEBVIEW,아이콘탭,2,1.7,유료,유지,유지,건물별 상이 · 유료,,,,
38,업무에 집중할 때,,스마트오피스 예약 (에이텐)3,업무,공간·좌석 예약,외부 WEBVIEW,아이콘탭,2,1.7,유료,유지,유지,건물별 상이,,,,
39,업무에 집중할 때,○,방문자예약 (에이텐),업무,방문자 관리,외부 WEBVIEW,아이콘탭,1,0.9,유료,유지,유지,GS타워·LG 등 일부 건물 제공,,,,
40,업무에 집중할 때,○,서초 자율좌석,업무,공간·좌석 예약,외부 WEBVIEW,아이콘탭,2,1.7,무료(선택),유지,유지,LG전자 서초 전용,,,,
41,업무에 집중할 때,○,LG방문예약,업무,방문자 관리,외부 링크,아이콘탭,12,10.3,무료(선택),검토,유지,LG 전용 외부 시스템 · API Key 필요,,,,
42,업무에 집중할 때,○,GS방문예약,업무,방문자 관리,외부 API,아이콘탭,1,0.9,무료(선택),검토,유지,GS타워 전용 · API Key 필요,,,,
43,업무에 집중할 때,○,주차 정기권,업무,업무행정,외부 링크,아이콘탭,1,0.9,무료(선택),검토,유지,외부 주차 시스템 연동,,,,
44,업무에 집중할 때,○,명함신청,업무,업무행정,외부 링크,아이콘탭,1,0.9,무료(선택),검토,유지,동국제약 전용,,,,
45,업무에 집중할 때,○,자원예약 (그룹웨어),업무,공간·좌석 예약,외부 링크,아이콘탭,1,0.9,무료(선택),검토,유지,고객사 그룹웨어 시스템 연동,,,,
46,업무에 집중할 때,삭제,엣스퍼트 주차,업무,업무행정,외부 링크,아이콘탭,1,0.9,무료(선택),검토,유지,특정 현장 전용,,,,
47,업무에 집중할 때,○,EOFFICE,제휴,업무행정,외부 링크,아이콘탭,1,0.9,무료(선택),검토,변경,특정 고객사 전용 · 업무 시스템 성격으로 재배치,,,,
48,업무에 집중할 때,○,MRO,제휴,업무행정,외부 링크,아이콘탭,1,0.9,무료(선택),검토,변경,업무 조달 성격으로 재배치,,,,
49,휴식이 필요할 때,○,밀리의서재,편의,복지·혜택,외부 링크,아이콘탭,1,0.9,무료(선택),폐기,변경,사용률 낮음 · 여가 성격으로 재배치 후 폐기,,,,
50,휴식이 필요할 때,○,방문세차,편의,편의·라이프,외부 링크,아이콘탭,92,76.9,유료,검토,변경,건당 결제 · 수익화 검토 · 개인 편의 성격으로 재배치,,,,
51,휴식이 필요할 때,,방문세차 LGSP,편의,편의·라이프,외부 링크,아이콘탭,1,0.9,유료,검토,변경,LGSP 전용 · 재배치,,,,
52,휴식이 필요할 때,○,구내식당,FB카테고리,식음,내부,홈위젯+샌디톡탭,144,50.4,무료핵심(필수),유지,유지,사원식당 보유 건물만 노출 · 매일 접속 유도 핵심,,,,
53,휴식이 필요할 때,○,사원카드 잔액 (아워홈),FB카테고리,식음,외부 API,홈위젯+아이콘탭,85,17.9,무료핵심(선택),검토,유지,아워홈 계약 현장만 · 계약 한정 유지,,,,
