# ----------------------------------------
# sandi app
# ★배너 노출 & 클릭 (운영)-샌디톡
# 20250421-20250427
# ----------------------------------------

세그먼트,모든 사용자,모든 사용자,모든 사용자,모든 사용자,모든 사용자,총계
페이지 경로 및 화면 클래스,/,/talk,/manager/voc-manager,/view,/auth/login,총계
,조회수,조회수,조회수,조회수,조회수,조회수
,75165,58962,30420,16316,7958,332383,총 합계
,75165,58962,30420,16316,7958,332383

